"Fall 2025"
"Generated 2/27/2025, 2:04:38 PM"
,"CLSS ID","SIS ID","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Long Title","Section Type","Title/Topic","Meeting Pattern","Meetings","Instructor","Room","Status","Session","Campus","Inst. Method","Integ. Partner","Schedule Print","Consent","Credit Hrs Min","Credit Hrs","Grade Mode","Attributes","Course Attributes","Room Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Projected Enrollment","Wait Cap","Wait Total","Rm Cap Request","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Projected","Cross-list Wait Cap","Cross-list Wait Total","Cross-list Rm Cap Request","Link To","Comments","Notes#1","Notes#2"
"CIVE 401 - CIVIL ENGINEERING DESIGN I"
,"4640","16979","Fall 2025","1258","UNO-CIVE","CIVE","401","CIVE 401","001","CIVIL ENGINEERING DESIGN I","","Studio","","F 9am-11:50am; F 12pm-12:50pm","F 9am-11:50am; F 12pm-12:50pm","Hunt, George (01262741) [Primary Instructor, Print]; Hunt, George (01262741) [Primary Instructor, Print]","Peter Kiewit Institute 153; Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","25","","","0","0","25","","","","","","","","","","Students required to enroll in both CIVE 401 sections.",""
,"4641","16980","Fall 2025","1258","UNO-CIVE","CIVE","401","CIVE 401","002","CIVIL ENGINEERING DESIGN I","","Studio","","Does Not Meet","Does Not Meet","Staff [Primary Instructor, Post, Print]","No Room Assigned","Cancelled Section","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","25","","","0","0","25","","","","","","","","","","Students required to enroll in both CIVE 401 sections.",""
"CIVE 424 - SOLID WASTE MANAGEMENT ENGINEERING"
,"620","14875","Fall 2025","1258","UNO-CIVE","CIVE","424","CIVE 424","001","SOLID WASTE MANAGEMENT ENGINEERING","","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Bartelt-Hunt, Shannon (51722571) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","30","","","0","0","30","Also CIVE 424-820, CIVE 824-001, CIVE 824-820","0","70","","0","0","70","","","",""
,"621","14876","Fall 2025","1258","UNO-CIVE","CIVE","424","CIVE 424","820","SOLID WASTE MANAGEMENT ENGINEERING","","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Bartelt-Hunt, Shannon (51722571) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","30","See CIVE 424-001","0","70","","0","0","70","","","",""
"CIVE 426 - DESIGN OF WASTEWATER TREATMENT AND DISPOSAL FACILITIES"
,"622","14871","Fall 2025","1258","UNO-CIVE","CIVE","426","CIVE 426","001","DESIGN OF WASTEWATER TREATMENT AND DISPOSAL FACILITIES","","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Li, Xu (41977373) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","30","","","0","0","30","Also CIVE 426-820, CIVE 826-001, CIVE 826-820","0","70","","0","0","70","","","",""
,"623","14872","Fall 2025","1258","UNO-CIVE","CIVE","426","CIVE 426","820","DESIGN OF WASTEWATER TREATMENT AND DISPOSAL FACILITIES","","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Li, Xu (41977373) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","30","See CIVE 426-001","0","70","","0","0","70","","","",""
"CIVE 436 - FOUNDATION ENGINEERING"
,"624","12519","Fall 2025","1258","UNO-CIVE","CIVE","436","CIVE 436","001","FOUNDATION ENGINEERING","","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Noh, Donghwa (98547170) [Primary Instructor, Post, Print]","Peter Kiewit Institute 155","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","29","","","0","0","29","Also CIVE 836-001","0","90","","99","0","90","","","",""
"CIVE 440 - REINFORCED CONCRETE DESIGN I"
,"625","12520","Fall 2025","1258","UNO-CIVE","CIVE","440","CIVE 440","001","REINFORCED CONCRETE DESIGN I","","Lecture","","TR 9am-10:15am","TR 9am-10:15am","Morcous, George (73182764) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","45","","","99","0","45","","","","","","","","","","",""
"CIVE 443 - ADVANCED STRUCTURAL ANALYSIS"
,"626","14438","Fall 2025","1258","UNO-CIVE","CIVE","443","CIVE 443","001","ADVANCED STRUCTURAL ANALYSIS","","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Wood, Richard (46342295) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","30","","","0","0","30","Also CIVE 443-820, CIVE 843-001, CIVE 843-820","0","35","","0","0","35","","","",""
,"627","15281","Fall 2025","1258","UNO-CIVE","CIVE","443","CIVE 443","820","ADVANCED STRUCTURAL ANALYSIS","","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Wood, Richard (46342295) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","0","See CIVE 443-001","0","35","","0","0","35","","","",""
"CIVE 446 - STEEL DESIGN II"
,"4620","16987","Fall 2025","1258","UNO-CIVE","CIVE","446","CIVE 446","001","STEEL DESIGN II","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Steelman, Joshua (15779599) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","20","","","0","0","20","Also CIVE 446-820, CIVE 846-001, CIVE 846-820","0","40","","0","0","40","","","",""
,"4621","16988","Fall 2025","1258","UNO-CIVE","CIVE","446","CIVE 446","820","STEEL DESIGN II","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Steelman, Joshua (15779599) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Fully Remote: Fully Remote","","","0","0","","","0","0","0","See CIVE 446-001","0","40","","0","0","40","","","",""
"CIVE 452 - WATER RESOURCES DEVELOPMENT"
,"628","12521","Fall 2025","1258","UNO-CIVE","CIVE","452","CIVE 452","001","WATER RESOURCES DEVELOPMENT","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Roy, Tirthankar (64819404) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","30","","","99","0","40","Also CIVE 452-820, CIVE 852-001, CIVE 852-820","0","90","","0","0","90","","","",""
,"629","12534","Fall 2025","1258","UNO-CIVE","CIVE","452","CIVE 452","820","WATER RESOURCES DEVELOPMENT","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Roy, Tirthankar (64819404) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","20","See CIVE 452-001","0","90","","0","0","90","","","Taught by closed circuit TV and discussion.",""
"CIVE 456 - SURFACE WATER HYDROLOGY"
,"4622","16993","Fall 2025","1258","UNO-CIVE","CIVE","456","CIVE 456","001","SURFACE WATER HYDROLOGY","","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Kilic, Ayse (67382839) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","20","","","0","0","20","Also CIVE 456-820, CIVE 856-001, CIVE 856-820","0","40","","0","0","40","","","",""
,"4623","16994","Fall 2025","1258","UNO-CIVE","CIVE","456","CIVE 456","820","SURFACE WATER HYDROLOGY","","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Kilic, Ayse (67382839) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Fully Remote: Fully Remote","","","0","0","","","0","0","0","See CIVE 456-001","0","40","","0","0","40","","","",""
"CIVE 461 - URBAN TRANSPORTATION PLANNING"
,"630","12536","Fall 2025","1258","UNO-CIVE","CIVE","461","CIVE 461","001","URBAN TRANSPORTATION PLANNING","","Lecture","","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Armantalab, Omid (81647828) [Primary Instructor, Post, Print]; Huynh, Nathan (34128798) [Secondary Instructor, Post, No Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","40","","","99","0","40","Also CIVE 461-820, CIVE 861-001, CIVE 861-820","0","40","","99","0","40","","","",""
,"631","13726","Fall 2025","1258","UNO-CIVE","CIVE","461","CIVE 461","820","URBAN TRANSPORTATION PLANNING","","Lecture","","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Armantalab, Omid (81647828) [Primary Instructor, Post, Print]; Huynh, Nathan (34128798) [Secondary Instructor, Post, No Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","0","See CIVE 461-001","0","40","","99","0","40","","","",""
"CIVE 463 - TRAFFIC ENGINEERING"
,"632","15426","Fall 2025","1258","UNO-CIVE","CIVE","463","CIVE 463","001","TRAFFIC ENGINEERING","","Lecture","","MW 3pm-4:15pm","MW 3pm-4:15pm","Yates, Austin (26823832) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","30","","","0","0","30","Also CIVE 463-820, CIVE 863-001, CIVE 863-820","0","60","","0","0","60","","","",""
,"633","15427","Fall 2025","1258","UNO-CIVE","CIVE","463","CIVE 463","820","TRAFFIC ENGINEERING","","Lecture","","MW 3pm-4:15pm","MW 3pm-4:15pm","Yates, Austin (26823832) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","0","See CIVE 463-001","0","60","","0","0","60","","","",""
"CIVE 491 - SPECIAL TOPICS IN CIVIL ENGINEERING"
,"3873","15089","Fall 2025","1258","UNO-CIVE","CIVE","491","CIVE 491","001","SPECIAL TOPICS IN CIVIL ENGINEERING","","Lecture","ENVIRONMENTAL MICROBIOLOGY","TR 10:30am-11:45am","TR 10:30am-11:45am","Li, Xu (41977373) [Primary Instructor, Post, Print]","Room Assignment Pending","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","","","","0","20","","","0","0","20","Also CIVE 491-821, CIVE 891-001, CIVE 891-821","0","40","","0","0","40","","","",""
,"3874","15282","Fall 2025","1258","UNO-CIVE","CIVE","491","CIVE 491","002","SPECIAL TOPICS IN CIVIL ENGINEERING","","Lecture","BIOREMEDIATION","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Zhang, Tian (51761834) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","","","","0","20","","","0","0","20","Also CIVE 491-822, CIVE 891-002, CIVE 891-822","0","40","","0","0","40","","","",""
,"3875","15428","Fall 2025","1258","UNO-CIVE","CIVE","491","CIVE 491","003","SPECIAL TOPICS IN CIVIL ENGINEERING","","Lecture","MULTISCALE CHAR&MODELING MTRLS","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Teixeira, Jamilla (92959492) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","","","","0","20","","","0","0","20","Also CIVE 491-823, CIVE 891-003, CIVE 891-823","0","40","","0","0","40","","","",""
,"4634","16995","Fall 2025","1258","UNO-CIVE","CIVE","491","CIVE 491","821","SPECIAL TOPICS IN CIVIL ENGINEERING","","Lecture","ENVIRONMENTAL MICROBIOLOGY","TR 10:30am-11:45am","TR 10:30am-11:45am","Li, Xu (41977373) [Primary Instructor, Post, Print]","Room Assignment Pending","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","Fully Remote: Fully Remote","","","0","0","","","0","0","30","See CIVE 491-001","0","40","","0","0","40","","","",""
,"3876","15283","Fall 2025","1258","UNO-CIVE","CIVE","491","CIVE 491","822","SPECIAL TOPICS IN CIVIL ENGINEERING","","Lecture","BIOREMEDIATION","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Zhang, Tian (51761834) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","0","See CIVE 491-002","0","40","","0","0","40","","","",""
,"3877","15429","Fall 2025","1258","UNO-CIVE","CIVE","491","CIVE 491","823","SPECIAL TOPICS IN CIVIL ENGINEERING","","Lecture","ADV MATERIALS OF CONSTRUCTION","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Teixeira, Jamilla (92959492) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","0","See CIVE 491-003","0","40","","0","0","40","","","",""
"CIVE 824 - SOLID WASTE MANAGEMENT ENGINEERING"
,"637","14877","Fall 2025","1258","UNO-CIVE","CIVE","824","CIVE 824","001","SOLID WASTE MANAGEMENT ENGINEERING","","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Bartelt-Hunt, Shannon (51722571) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","30","","","0","0","30","See CIVE 424-001","0","70","","0","0","70","","","",""
,"638","14878","Fall 2025","1258","UNO-CIVE","CIVE","824","CIVE 824","820","SOLID WASTE MANAGEMENT ENGINEERING","","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Bartelt-Hunt, Shannon (51722571) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","30","See CIVE 424-001","0","70","","0","0","70","","","",""
"CIVE 826 - DESIGN OF WASTEWATER TREATMENT AND DISPOSAL FACILITIES"
,"639","14873","Fall 2025","1258","UNO-CIVE","CIVE","826","CIVE 826","001","DESIGN OF WASTEWATER TREATMENT AND DISPOSAL FACILITIES","","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Li, Xu (41977373) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","5","","","0","0","5","See CIVE 426-001","0","70","","0","0","70","","","",""
,"640","14874","Fall 2025","1258","UNO-CIVE","CIVE","826","CIVE 826","820","DESIGN OF WASTEWATER TREATMENT AND DISPOSAL FACILITIES","","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Li, Xu (41977373) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","5","See CIVE 426-001","0","70","","0","0","70","","","",""
"CIVE 834 - SOIL MECHANICS II"
,"4624","16985","Fall 2025","1258","UNO-CIVE","CIVE","834","CIVE 834","001","SOIL MECHANICS II","","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Kim, Seunghee (86614645) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","20","","","0","0","20","Also CIVE 834-820","0","20","","0","0","20","","","",""
,"4625","16986","Fall 2025","1258","UNO-CIVE","CIVE","834","CIVE 834","820","SOIL MECHANICS II","","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Kim, Seunghee (86614645) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Fully Remote: Fully Remote","","","0","0","","","0","0","0","See CIVE 834-001","0","20","","0","0","20","","","",""
"CIVE 836 - FOUNDATION ENGINEER"
,"641","12522","Fall 2025","1258","UNO-CIVE","CIVE","836","CIVE 836","001","FOUNDATION ENGINEER","","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Noh, Donghwa (98547170) [Primary Instructor, Post, Print]","Peter Kiewit Institute 155","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","11","","","99","0","11","See CIVE 436-001","0","90","","99","0","90","","","",""
"CIVE 842 - STRUCTURAL DYNAMICS"
,"4626","16983","Fall 2025","1258","UNO-CIVE","CIVE","842","CIVE 842","001","STRUCTURAL DYNAMICS","","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Wittich, Christine (22790956) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","20","","","0","0","20","Also CIVE 842-820","0","20","","0","0","20","","","",""
,"4627","16984","Fall 2025","1258","UNO-CIVE","CIVE","842","CIVE 842","820","STRUCTURAL DYNAMICS","","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Wittich, Christine (22790956) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Fully Remote: Fully Remote","","","0","0","","","0","0","0","See CIVE 842-001","0","20","","0","0","20","","","",""
"CIVE 843 - ADVANCED STRUCTURAL ANALYSIS"
,"3573","14439","Fall 2025","1258","UNO-DOEN","CIVE","843","CIVE 843","001","ADVANCED STRUCTURAL ANALYSIS","","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Wood, Richard (46342295) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","5","","","0","0","5","See CIVE 443-001","0","35","","0","0","35","","","",""
,"3574","15430","Fall 2025","1258","UNO-DOEN","CIVE","843","CIVE 843","820","ADVANCED STRUCTURAL ANALYSIS","","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Wood, Richard (46342295) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","0","See CIVE 443-001","0","35","","0","0","35","","","",""
"CIVE 846 - STEEL DESIGN II"
,"4628","16989","Fall 2025","1258","UNO-CIVE","CIVE","846","CIVE 846","001","STEEL DESIGN II","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Steelman, Joshua (15779599) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","20","","","0","0","20","See CIVE 446-001","0","40","","0","0","40","","","",""
,"4629","16990","Fall 2025","1258","UNO-CIVE","CIVE","846","CIVE 846","820","STEEL DESIGN II","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Steelman, Joshua (15779599) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Fully Remote: Fully Remote","","","0","0","","","0","0","0","See CIVE 446-001","0","40","","0","0","40","","","",""
"CIVE 850 - PRESTRESSED CONCRETE"
,"642","13728","Fall 2025","1258","UNO-CIVE","CIVE","850","CIVE 850","001","PRESTRESSED CONCRETE","","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Morcous, George (73182764) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","20","","","0","0","20","Also CIVE 850-820","0","20","","0","0","20","","","",""
,"643","13729","Fall 2025","1258","UNO-CIVE","CIVE","850","CIVE 850","820","PRESTRESSED CONCRETE","","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Morcous, George (73182764) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","0","See CIVE 850-001","0","20","","0","0","20","","","",""
"CIVE 852 - WATER RESOURCES DEVELOPMENT"
,"644","12523","Fall 2025","1258","UNO-CIVE","CIVE","852","CIVE 852","001","WATER RESOURCES DEVELOPMENT","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Roy, Tirthankar (64819404) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","10","","","99","0","10","See CIVE 452-001","0","90","","0","0","90","","","",""
,"645","12535","Fall 2025","1258","UNO-CIVE","CIVE","852","CIVE 852","820","WATER RESOURCES DEVELOPMENT","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Roy, Tirthankar (64819404) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","10","See CIVE 452-001","0","90","","0","0","90","","","Taught by closed circuit TV and discussion.",""
"CIVE 856 - SURFACE WATER HYDROLOGY"
,"4630","16991","Fall 2025","1258","UNO-CIVE","CIVE","856","CIVE 856","001","SURFACE WATER HYDROLOGY","","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Kilic, Ayse (67382839) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","20","","","0","0","20","See CIVE 456-001","0","40","","0","0","40","","","",""
,"4631","16992","Fall 2025","1258","UNO-CIVE","CIVE","856","CIVE 856","820","SURFACE WATER HYDROLOGY","","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Kilic, Ayse (67382839) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Fully Remote: Fully Remote","","","0","0","","","0","0","0","See CIVE 456-001","0","40","","0","0","40","","","",""
"CIVE 861 - URBAN TRANSPORTATION PLANNING"
,"646","12537","Fall 2025","1258","UNO-CIVE","CIVE","861","CIVE 861","001","URBAN TRANSPORTATION PLANNING","","Lecture","","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Armantalab, Omid (81647828) [Primary Instructor, Post, Print]; Huynh, Nathan (34128798) [Secondary Instructor, Post, No Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","10","","","99","0","30","See CIVE 461-001","0","40","","99","0","40","","","",""
,"647","13727","Fall 2025","1258","UNO-CIVE","CIVE","861","CIVE 861","820","URBAN TRANSPORTATION PLANNING","","Lecture","","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Armantalab, Omid (81647828) [Primary Instructor, Post, Print]; Huynh, Nathan (34128798) [Secondary Instructor, Post, No Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","0","See CIVE 461-001","0","40","","99","0","40","","","",""
"CIVE 863 - TRAFFIC ENGINEERING"
,"648","15431","Fall 2025","1258","UNO-CIVE","CIVE","863","CIVE 863","001","TRAFFIC ENGINEERING","","Lecture","","MW 3pm-4:15pm","MW 3pm-4:15pm","Yates, Austin (26823832) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","30","","","0","0","30","See CIVE 463-001","0","60","","0","0","60","","","",""
,"649","15432","Fall 2025","1258","UNO-CIVE","CIVE","863","CIVE 863","820","TRAFFIC ENGINEERING","","Lecture","","MW 3pm-4:15pm","MW 3pm-4:15pm","Yates, Austin (26823832) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","0","See CIVE 463-001","0","60","","0","0","60","","","",""
"CIVE 891 - SPECIAL TOPICS IN CIVIL ENGINEERING"
,"4635","16996","Fall 2025","1258","UNO-CIVE","CIVE","891","CIVE 891","001","SPECIAL TOPICS IN CIVIL ENGINEERING","","Lecture","ENVIRONMENTAL MICROBIOLOGY","TR 10:30am-11:45am","TR 10:30am-11:45am","Li, Xu (41977373) [Primary Instructor, Post, Print]","Room Assignment Pending","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","","","","0","20","","","0","0","20","See CIVE 491-001","0","40","","0","0","40","","","",""
,"3878","15433","Fall 2025","1258","UNO-CIVE","CIVE","891","CIVE 891","002","SPECIAL TOPICS IN CIVIL ENGINEERING","","Lecture","ADV MATERIALS OF CONSTRUCTION","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Zhang, Tian (51761834) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","","","","0","20","","","0","0","20","See CIVE 491-002","0","40","","0","0","40","","","",""
,"3879","15435","Fall 2025","1258","UNO-CIVE","CIVE","891","CIVE 891","003","SPECIAL TOPICS IN CIVIL ENGINEERING","","Lecture","MULTISCALE CHAR&MODELING MTRLS","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Teixeira, Jamilla (92959492) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","","","","0","20","","","0","0","20","See CIVE 491-003","0","40","","0","0","40","","","",""
