
,"Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Section Type","Title/Topic","Meeting Pattern","Meetings","Instructor","Room","Status","Session","Campus","Inst. Method","Integ. Partner","Schedule Print","Consent","Credit Hrs Min","Credit Hrs","Grade Mode","Attributes","Course Attributes","Room Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Projected Enrollment","Wait Cap","Rm Cap Request","Cross-listings","Cross-list Maximum","Cross-list Projected","Cross-list Wait Cap","Cross-list Rm Cap Request","Link To","Comments","Notes#1"
,"Fall 2022","1228","UNO-CIVE","CIVE","112","CIVE 112","001","INTRODUCTION TO CIVIL ENGINEERING","Lecture","","MWF 9:30am-10:20am","MWF 9:30am-10:20am; F 9:30am-10:20am","Hunt, George (01262741) [Primary Instructor, Post, Print]; Lane, Kaycie (37381171) [Primary Instructor, Post, Print]; Lane, Kaycie (37381171) [Secondary Instructor, Post, Print]; Hunt, George (01262741) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 252; Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Graded","","","","5","0","","","0","30","See CIVE 101-001","56","","99","56","","",""
"CIVE 310 - FLUID MECHANICS"
,"Fall 2022","1228","UNO-CIVE","CIVE","310","CIVE 310","001","FLUID MECHANICS","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Guo, Junke (66836826) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","56","56","","","99","56","","","","","","","",""
"CIVE 319 - HYDRAULICS LAB"
,"Fall 2022","1228","UNO-CIVE","CIVE","319","CIVE 319","001","HYDRAULICS LAB","Laboratory","","M 1:30pm-4:15pm; M 1:30pm-2:45pm","M 1:30pm-4:15pm; M 1:30pm-2:45pm","Guo, Junke (66836826) [Primary Instructor, Post, Print]; Guo, Junke (66836826) [Primary Instructor, Post, Print]","Peter Kiewit Institute 110; Peter Kiewit Institute 259","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Graded","","","","20","20","","","99","20","","","","","","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","319","CIVE 319","002","HYDRAULICS LAB","Laboratory","","W 1:30pm-4:15pm; W 1:30pm-2:45pm","W 1:30pm-4:15pm; W 1:30pm-2:45pm","Guo, Junke (66836826) [Primary Instructor, Post, Print]; Guo, Junke (66836826) [Primary Instructor, Post, Print]","Peter Kiewit Institute 110; Peter Kiewit Institute 259","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Graded","","","","16","20","","","99","20","","","","","","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","319","CIVE 319","003","HYDRAULICS LAB","Laboratory","","F 1:30pm-2:45pm; F 1:30pm-4:15pm","F 1:30pm-2:45pm; F 1:30pm-4:15pm","Guo, Junke (66836826) [Primary Instructor, Post, Print]; Guo, Junke (66836826) [Primary Instructor, Post, Print]","Peter Kiewit Institute 259; Peter Kiewit Institute 110","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Graded","","","","12","20","","","99","20","","","","","","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","319","CIVE 319","004","HYDRAULICS LAB","Laboratory","","F 9am-11:45am; F 9am-10:15am","F 9am-11:45am; F 9am-10:15am","Guo, Junke (66836826) [Primary Instructor, Post, Print]; Guo, Junke (66836826) [Primary Instructor, Post, Print]","Peter Kiewit Institute 110; Peter Kiewit Institute 259","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Graded","","","","6","20","","","99","20","","","","","","","",""
"CIVE 321 - PRINCIPLES OF ENVIRONMENTAL ENGINEERING"
,"Fall 2022","1228","UNO-CIVE","CIVE","321","CIVE 321","001","PRINCIPLES OF ENVIRONMENTAL ENGINEERING","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Zhang, Tian (51761834) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","32","56","","","99","50","","","","","","","",""
"CIVE 321L - ENVIRONMENTAL ENGINEERING LABORATORY"
,"Fall 2022","1228","UNO-CIVE","CIVE","321L","CIVE 321L","001","ENVIRONMENTAL ENGINEERING LABORATORY","Laboratory","","F 8am-11am","F 8am-11am","Borsuah, Josephus (50796282) [Primary Instructor, Post, Print]; Bartelt-Hunt, Shannon (51722571) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 213","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Graded","","","","22","24","","","99","24","","","","","","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","321L","CIVE 321L","002","ENVIRONMENTAL ENGINEERING LABORATORY","Laboratory","","F 1:30pm-4:30pm","F 1:30pm-4:30pm","Borsuah, Josephus (50796282) [Primary Instructor, Post, Print]; Bartelt-Hunt, Shannon (51722571) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 213","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Graded","","","","10","24","","","99","24","","","","","","","",""
"CIVE 341 - INTRODUCTION TO STRUCTURAL ENGINEERING"
,"Fall 2022","1228","UNO-CIVE","CIVE","341","CIVE 341","002","INTRODUCTION TO STRUCTURAL ENGINEERING","Laboratory","Laboratory","M 10:30am-12:15pm","M 10:30am-12:15pm","Sim, Chungwook (02182184) [Primary Instructor, Post, Print]","Peter Kiewit Institute 117","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","4","4","Graded","","","","41","48","","","0","48","","","","","","CIVE 341-001","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","341","CIVE 341","004","INTRODUCTION TO STRUCTURAL ENGINEERING","Laboratory","","W 12:30pm-2:15pm","W 12:30pm-2:15pm","Sim, Chungwook (02182184) [Primary Instructor, Post, Print]","Peter Kiewit Institute 117","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","4","4","Graded","","","","12","48","","","0","48","","","","","","CIVE 341-001","",""
"CIVE 427 - DESIGN OF WASTEWATER TREATMENT AND DISPOSAL FACILITIES"
,"Fall 2022","1228","UNO-CIVE","CIVE","427","CIVE 427","001","DESIGN OF WASTEWATER TREATMENT AND DISPOSAL FACILITIES","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","Zhang, Tian (51761834) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","2","25","","","0","25","Also CIVE 427-820, CIVE 827-001, CIVE 827-820","35","","0","35","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","427","CIVE 427","820","DESIGN OF WASTEWATER TREATMENT AND DISPOSAL FACILITIES","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","Zhang, Tian (51761834) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","See CIVE 427-001","35","","0","35","","",""
"CIVE 436 - FOUNDATION ENGINEERING"
,"Fall 2022","1228","UNO-CIVE","CIVE","436","CIVE 436","001","FOUNDATION ENGINEERING","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Eun, Jongwan (15497201) [Primary Instructor, Post, Print]","Peter Kiewit Institute 155","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","27","29","","","0","29","Also CIVE 836-001","90","","99","90","","",""
"CIVE 440 - REINFORCED CONCRETE DESIGN I"
,"Fall 2022","1228","UNO-CIVE","CIVE","440","CIVE 440","001","REINFORCED CONCRETE DESIGN I","Lecture","","TR 9am-10:15am","TR 9am-10:15am","Morcous, George (73182764) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","38","45","","","99","45","","112","","99","112","","PKI 164",""
"CIVE 443 - ADVANCED STRUCTURAL ANALYSIS"
,"Fall 2022","1228","UNO-CIVE","CIVE","443","CIVE 443","001","ADVANCED STRUCTURAL ANALYSIS","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Tuan, Christopher (93567104) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","Distance Education","","Yes","No Special Consent Required","3","3","Graded","","","","17","30","","","0","30","See CIVE 443-820","35","","0","35","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","443","CIVE 443","820","ADVANCED STRUCTURAL ANALYSIS","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Tuan, Christopher (93567104) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","Distance Education","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","30","Also CIVE 843-820, CIVE 443-001, CIVE 843-001","35","","0","35","","",""
"CIVE 446 - STEEL DESIGN II"
,"Fall 2022","1228","UNO-CIVE","CIVE","446","CIVE 446","001","STEEL DESIGN II","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Steelman, Joshua (15779599) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","2","25","","","99","40","Also CIVE 846-001, CIVE 446-820, CIVE 846-820","35","","0","35","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","446","CIVE 446","820","STEEL DESIGN II","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Steelman, Joshua (15779599) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","30","See CIVE 446-001","35","","0","35","","",""
"CIVE 452 - WATER RESOURCES DEVELOPMENT"
,"Fall 2022","1228","UNO-CIVE","CIVE","452","CIVE 452","001","WATER RESOURCES DEVELOPMENT","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Hunt, George (01262741) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","14","30","","","99","40","Also CIVE 452-820, CIVE 852-001, CIVE 852-820","90","","0","90","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","452","CIVE 452","820","WATER RESOURCES DEVELOPMENT","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Hunt, George (01262741) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","20","See CIVE 452-001","90","","0","90","","","Taught by closed circuit TV and discussion."
"CIVE 456 - SURFACE WATER HYDROLOGY"
,"Fall 2022","1228","UNO-CIVE","CIVE","456","CIVE 456","001","SURFACE WATER HYDROLOGY","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Roy, Tirthankar (64819404) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","16","20","","","0","20","Also CIVE 456-820, CIVE 856-001, CIVE 856-820","20","","0","20","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","456","CIVE 456","820","SURFACE WATER HYDROLOGY","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Roy, Tirthankar (64819404) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","See CIVE 456-001","20","","0","20","","",""
"CIVE 461 - URBAN TRANSPORTATION PLANNING"
,"Fall 2022","1228","UNO-CIVE","CIVE","461","CIVE 461","001","URBAN TRANSPORTATION PLANNING","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Hawkins, Jason (41291179) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","8","40","","","99","40","Also CIVE 461-820, CIVE 861-001, CIVE 861-820","40","","99","40","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","461","CIVE 461","820","URBAN TRANSPORTATION PLANNING","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Hawkins, Jason (41291179) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","See CIVE 461-001","40","","99","40","","",""
"CIVE 462 - HIGHWAY DESIGN"
,"Fall 2022","1228","UNO-CIVE","CIVE","462","CIVE 462","001","HIGHWAY DESIGN","Lecture","","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Moussavi, Massoum (80060047) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","24","30","","","0","30","Also CIVE 462-820, CIVE 862-001, CIVE 862-820","42","","0","42","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","462","CIVE 462","820","HIGHWAY DESIGN","Lecture","","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Moussavi, Massoum (80060047) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","30","See CIVE 462-001","42","","0","42","","",""
"CIVE 481 - COMPUTATIONAL PROBLEM SOLVING IN CIVIL ENGINEERING"
,"Fall 2022","1228","UNO-CIVE","CIVE","481","CIVE 481","001","COMPUTATIONAL PROBLEM SOLVING IN CIVIL ENGINEERING","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Jin, Congrui (09308007) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","3","30","","","0","30","Also CIVE 481-820, CIVE 881-001, CIVE 881-820","30","","0","30","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","481","CIVE 481","820","COMPUTATIONAL PROBLEM SOLVING IN CIVIL ENGINEERING","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Jin, Congrui (09308007) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","30","See CIVE 481-001","30","","0","30","","",""
"CIVE 489 - SENIOR DESIGN PROJECT"
,"Fall 2022","1228","UNO-CIVE","CIVE","489","CIVE 489","001","SENIOR DESIGN PROJECT","Lecture/Lab (combo)","","F 12pm-4:30pm","F 12pm-4:30pm","Hunt, George (01262741) [Primary Instructor, Post, Print]; Lane, Kaycie (37381171) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Experiential Learning: Includes Experiential Learning Component","","","24","40","","","0","40","","","","","","","",""
"CIVE 491 - SPECIAL TOPICS IN CIVIL ENGINEERING"
,"Fall 2022","1228","UNO-CIVE","CIVE","491","CIVE 491","002","SPECIAL TOPICS IN CIVIL ENGINEERING","Lecture","ADV MATERIALS OF CONSTRUCTION","TR 12pm-1:15pm","TR 12pm-1:15pm","Hu, Jiong (57638573) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","","","","12","30","","","0","30","Also CIVE 491-821, CIVE 891-002, CIVE 891-821","35","","0","35","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","491","CIVE 491","821","SPECIAL TOPICS IN CIVIL ENGINEERING","Lecture","ADV MATERIALS OF CONSTRUCTION","TR 12pm-1:15pm","TR 12pm-1:15pm","Hu, Jiong (57638573) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","Remote Learning: Remote Learning","","","0","0","","","0","30","See CIVE 491-002","35","","0","35","","","Taught by closed circuit TV and discussion"
"CIVE 827 - DESIGN OF WASTEWATER TREATMENT AND DISPOSAL FACILITIES"
,"Fall 2022","1228","UNO-CIVE","CIVE","827","CIVE 827","001","DESIGN OF WASTEWATER TREATMENT AND DISPOSAL FACILITIES","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","Zhang, Tian (51761834) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","1","10","","","0","10","See CIVE 427-001","35","","0","35","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","827","CIVE 827","820","DESIGN OF WASTEWATER TREATMENT AND DISPOSAL FACILITIES","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","Zhang, Tian (51761834) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","See CIVE 427-001","35","","0","35","","",""
"CIVE 828 - ENVIRONMENTAL ENGINEERING CHEMISTRY"
,"Fall 2022","1228","UNO-CIVE","CIVE","828","CIVE 828","001","ENVIRONMENTAL ENGINEERING CHEMISTRY","Lecture","","TR 9am-10:15am","TR 9am-10:15am","Bartelt-Hunt, Shannon (51722571) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","4","10","","","0","10","Also CIVE 828-820","10","","0","10","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","828","CIVE 828","820","ENVIRONMENTAL ENGINEERING CHEMISTRY","Lecture","","TR 9am-10:15am","TR 9am-10:15am","Bartelt-Hunt, Shannon (51722571) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","See CIVE 828-001","10","","0","10","","",""
"CIVE 836 - FOUNDATION ENGINEER"
,"Fall 2022","1228","UNO-CIVE","CIVE","836","CIVE 836","001","FOUNDATION ENGINEER","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Eun, Jongwan (15497201) [Primary Instructor, Post, Print]","Peter Kiewit Institute 155","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","11","11","","","99","11","See CIVE 436-001","90","","99","90","","",""
"CIVE 842 - STRUCTURAL DYNAMICS"
,"Fall 2022","1228","UNO-CIVE","CIVE","842","CIVE 842","001","STRUCTURAL DYNAMICS","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Wittich, Christine (22790956) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","4","30","","","0","30","Also CIVE 842-820","30","","0","30","","","The first week (Aug 17-21) will  meet remotely."
,"Fall 2022","1228","UNO-CIVE","CIVE","842","CIVE 842","820","STRUCTURAL DYNAMICS","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Wittich, Christine (22790956) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","See CIVE 842-001","30","","0","30","","","The first week (Aug 17-21) will  meet remotely."
"CIVE 843 - ADVANCED STRUCTURAL ANALYSIS"
,"Fall 2022","1228","UNO-DOEN","CIVE","843","CIVE 843","001","ADVANCED STRUCTURAL ANALYSIS","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Tuan, Christopher (93567104) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","Distance Education","","Yes","No Special Consent Required","3","3","Graded","","","","2","5","","","0","5","See CIVE 443-820","35","","0","35","","",""
,"Fall 2022","1228","UNO-DOEN","CIVE","843","CIVE 843","820","ADVANCED STRUCTURAL ANALYSIS","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Tuan, Christopher (93567104) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","Distance Education","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","5","See CIVE 443-820","35","","0","35","","",""
"CIVE 846 - STEEL DESIGN II"
,"Fall 2022","1228","UNO-CIVE","CIVE","846","CIVE 846","001","STEEL DESIGN II","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Steelman, Joshua (15779599) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","13","15","","","99","40","See CIVE 446-001","35","","0","35","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","846","CIVE 846","820","STEEL DESIGN II","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Steelman, Joshua (15779599) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","30","See CIVE 446-001","35","","0","35","","",""
"CIVE 850 - PRESTRESSED CONCRETE"
,"Fall 2022","1228","UNO-CIVE","CIVE","850","CIVE 850","001","PRESTRESSED CONCRETE","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Morcous, George (73182764) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","14","12","","","0","12","Also CIVE 850-820","12","","0","12","","PKI 160",""
,"Fall 2022","1228","UNO-CIVE","CIVE","850","CIVE 850","820","PRESTRESSED CONCRETE","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Morcous, George (73182764) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","See CIVE 850-001","12","","0","12","","",""
"CIVE 852 - WATER RESOURCES DEVELOPMENT"
,"Fall 2022","1228","UNO-CIVE","CIVE","852","CIVE 852","001","WATER RESOURCES DEVELOPMENT","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Hunt, George (01262741) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","5","10","","","99","10","See CIVE 452-001","90","","0","90","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","852","CIVE 852","820","WATER RESOURCES DEVELOPMENT","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Hunt, George (01262741) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","10","See CIVE 452-001","90","","0","90","","","Taught by closed circuit TV and discussion."
"CIVE 856 - SURFACE WATER HYDROLOGY"
,"Fall 2022","1228","UNO-CIVE","CIVE","856","CIVE 856","001","SURFACE WATER HYDROLOGY","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Roy, Tirthankar (64819404) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","4","5","","","0","5","See CIVE 456-001","20","","0","20","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","856","CIVE 856","820","SURFACE WATER HYDROLOGY","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Roy, Tirthankar (64819404) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","See CIVE 456-001","20","","0","20","","",""
"CIVE 861 - URBAN TRANSPORTATION PLANNING"
,"Fall 2022","1228","UNO-CIVE","CIVE","861","CIVE 861","001","URBAN TRANSPORTATION PLANNING","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Hawkins, Jason (41291179) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","1","10","","","99","30","See CIVE 461-001","40","","99","40","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","861","CIVE 861","820","URBAN TRANSPORTATION PLANNING","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Hawkins, Jason (41291179) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","See CIVE 461-001","40","","99","40","","",""
"CIVE 862 - HIGHWAY DESIGN"
,"Fall 2022","1228","UNO-CIVE","CIVE","862","CIVE 862","001","HIGHWAY DESIGN","Lecture","","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Moussavi, Massoum (80060047) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","4","","","0","4","See CIVE 462-001","42","","0","42","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","862","CIVE 862","820","HIGHWAY DESIGN","Lecture","","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Moussavi, Massoum (80060047) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","See CIVE 462-001","42","","0","42","","",""
"CIVE 881 - COMPUTATIONAL PROBLEM SOLVING IN CIVIL ENGINEERING"
,"Fall 2022","1228","UNO-CIVE","CIVE","881","CIVE 881","001","COMPUTATIONAL PROBLEM SOLVING IN CIVIL ENGINEERING","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Jin, Congrui (09308007) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","1","30","","","0","30","See CIVE 481-001","30","","0","30","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","881","CIVE 881","820","COMPUTATIONAL PROBLEM SOLVING IN CIVIL ENGINEERING","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Jin, Congrui (09308007) [Primary Instructor, Post, Print]","Peter Kiewit Institute 108","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","See CIVE 481-001","30","","0","30","","",""
"CIVE 891 - SPECIAL TOPICS IN CIVIL ENGINEERING"
